num	premise	hypothesis	gold_label	template_num	time_format	time_span	category
1	ボブ は ホーム に 交流 戦 を 迎えて いる 。	ボブ は 現在 ホーム に 交流 戦 を 迎えて いる 。	entailment	0	None	None	現在（現在形）
2	トレント は 問い に 喉 を 開いて いる 。	トレント は 現在 問い に 喉 を 開いて いる 。	entailment	0	None	None	現在（現在形）
3	トレント は 胸 に レイ を 抱き締めて いる 。	トレント は 現在 胸 に レイ を 抱き締めて いる 。	entailment	0	None	None	現在（現在形）
4	マロリー は 客 に 面接 日 を 案内 して いる 。	マロリー は 現在 客 に 面接 日 を 案内 して いる 。	entailment	0	None	None	現在（現在形）
5	ジャスティン は 対象 に 自習 を 行って いる 。	ジャスティン は 現在 対象 に 自習 を 行って いる 。	entailment	0	None	None	現在（現在形）
6	パット は 左翼 に ホームラン を 放って いる 。	パット は 現在 左翼 に ホームラン を 放って いる 。	entailment	0	None	None	現在（現在形）
7	トルーディー は 途端 に 世界 観 を 変えて いる 。	トルーディー は 現在 途端 に 世界 観 を 変えて いる 。	entailment	0	None	None	現在（現在形）
8	マレット は 皆さん に 考え 方 を 述べて いる 。	マレット は 現在 皆さん に 考え 方 を 述べて いる 。	entailment	0	None	None	現在（現在形）
9	ジャスティン は 耳 に 立ち話 を して いる 。	ジャスティン は 現在 耳 に 立ち話 を して いる 。	entailment	0	None	None	現在（現在形）
10	パット は 買収 に 諸手 を 上げて いる 。	パット は 現在 買収 に 諸手 を 上げて いる 。	entailment	0	None	None	現在（現在形）
11	2008 年 以来 、 エレン は 皆 に 伝えて いる 。 現在 、 2015 年 である 。	エレン は 2013 年 に は 皆 に 伝えて いた 。	entailment	1	年	random	以来（状態動詞）
12	2016 年 以来 、 アイザック は 物音 に 覚まして いる 。 現在 、 2020 年 である 。	アイザック は 2019 年 に は 物音 に 覚まして いた 。	entailment	1	年	random	以来（状態動詞）
13	2003 年 以来 、 キャロル は 映画 祭 に 参加 して いる 。 現在 、 2018 年 である 。	キャロル は 2012 年 に は 映画 祭 に 参加 して いた 。	entailment	1	年	random	以来（状態動詞）
14	2008 年 以来 、 アイザック は 計画 に 定めて いる 。 現在 、 2019 年 である 。	アイザック は 2012 年 に は 計画 に 定めて いた 。	entailment	1	年	random	以来（状態動詞）
15	2000 年 以来 、 スティーブ は 相談 に 答えて いる 。 現在 、 2008 年 である 。	スティーブ は 2001 年 に は 相談 に 答えて いた 。	entailment	1	年	random	以来（状態動詞）
16	2003 年 以来 、 イヴァン は 社 に 居る 。 現在 、 2015 年 である 。	イヴァン は 2014 年 に は 社 に 居った 。	entailment	1	年	random	以来（状態動詞）
17	2004 年 以来 、 マレット は 私 に くれて いる 。 現在 、 2015 年 である 。	マレット は 2007 年 に は 私 に くれて いた 。	entailment	1	年	random	以来（状態動詞）
18	2004 年 以来 、 スティーブ は 消費 者 に 届けて いる 。 現在 、 2014 年 である 。	スティーブ は 2009 年 に は 消費 者 に 届けて いた 。	entailment	1	年	random	以来（状態動詞）
19	2005 年 以来 、 アイザック は 問い合わせ に 応じて いる 。 現在 、 2014 年 である 。	アイザック は 2011 年 に は 問い合わせ に 応じて いた 。	entailment	1	年	random	以来（状態動詞）
20	2015 年 以来 、 マロリー は 結果 に 負って いる 。 現在 、 2018 年 である 。	マロリー は 2017 年 に は 結果 に 負って いた 。	entailment	1	年	random	以来（状態動詞）
21	2018 年 以来 、 トルーディー は 母さん に 贈って いる 。 現在 、 2007 年 である 。	トルーディー は 2012 年 に は 母さん に 贈って いた 。	contradiction	1	年	random	以来（状態動詞）
22	2017 年 以来 、 ゾーイ は 企画 に 出演 して いる 。 現在 、 2011 年 である 。	ゾーイ は 2003 年 に は 企画 に 出演 して いた 。	contradiction	1	年	random	以来（状態動詞）
23	2019 年 以来 、 ペギー は 出迎え に 上がって いる 。 現在 、 2016 年 である 。	ペギー は 2003 年 に は 出迎え に 上がって いた 。	contradiction	1	年	random	以来（状態動詞）
24	2015 年 以来 、 ビクター は 意見 に 傾けて いる 。 現在 、 2020 年 である 。	ビクター は 2014 年 に は 意見 に 傾けて いた 。	contradiction	1	年	random	以来（状態動詞）
25	2012 年 以来 、 トルーディー は ローマ に 移籍 して いる 。 現在 、 2004 年 である 。	トルーディー は 2001 年 に は ローマ に 移籍 して いた 。	contradiction	1	年	random	以来（状態動詞）
26	2010 年 以来 、 プロッド は 答え に 答えて いる 。 現在 、 2004 年 である 。	プロッド は 2009 年 に は 答え に 答えて いた 。	contradiction	1	年	random	以来（状態動詞）
27	2013 年 以来 、 オスカー は 御礼 に 歌って いる 。 現在 、 2017 年 である 。	オスカー は 2002 年 に は 御礼 に 歌って いた 。	contradiction	1	年	random	以来（状態動詞）
28	2003 年 以来 、 アリス は 感触 に 覚まして いる 。 現在 、 2001 年 である 。	アリス は 2002 年 に は 感触 に 覚まして いた 。	contradiction	1	年	random	以来（状態動詞）
29	2015 年 以来 、 スティーブ は 客 に 案内 して いる 。 現在 、 2016 年 である 。	スティーブ は 2009 年 に は 客 に 案内 して いた 。	contradiction	1	年	random	以来（状態動詞）
30	2020 年 以来 、 スティーブ は 講演 に 臨んで いる 。 現在 、 2018 年 である 。	スティーブ は 2006 年 に は 講演 に 臨んで いた 。	contradiction	1	年	random	以来（状態動詞）
31	2003 年 以来 、 オスカー は 音 に 止めて いる 。 現在 、 2011 年 である 。	オスカー は 2019 年 に は 音 に 止めて いた 。	neutral	1	年	random	以来（状態動詞）
32	2003 年 以来 、 プロッド は 伊丹 に 帰って いる 。 現在 、 2011 年 である 。	プロッド は 2019 年 に は 伊丹 に 帰って いた 。	neutral	1	年	random	以来（状態動詞）
33	2004 年 以来 、 マロリー は 球場 に やってきて いる 。 現在 、 2007 年 である 。	マロリー は 2012 年 に は 球場 に やってきて いた 。	neutral	1	年	random	以来（状態動詞）
34	2001 年 以来 、 トレント は 関係 者 に 申し上げて いる 。 現在 、 2007 年 である 。	トレント は 2017 年 に は 関係 者 に 申し上げて いた 。	neutral	1	年	random	以来（状態動詞）
35	2001 年 以来 、 イブ は 私 に 傾げて いる 。 現在 、 2012 年 である 。	イブ は 2020 年 に は 私 に 傾げて いた 。	neutral	1	年	random	以来（状態動詞）
36	2010 年 以来 、 トルーディー は 海外 に 留学 して いる 。 現在 、 2004 年 である 。	トルーディー は 2020 年 に は 海外 に 留学 して いた 。	neutral	1	年	random	以来（状態動詞）
37	2016 年 以来 、 トレント は 海外 に 移籍 して いる 。 現在 、 2015 年 である 。	トレント は 2019 年 に は 海外 に 移籍 して いた 。	neutral	1	年	random	以来（状態動詞）
38	2005 年 以来 、 ゾーイ は 閣僚 に 指示 して いる 。 現在 、 2003 年 である 。	ゾーイ は 2013 年 に は 閣僚 に 指示 して いた 。	neutral	1	年	random	以来（状態動詞）
39	2000 年 以来 、 キャロル は 以内 に 行って いる 。 現在 、 2013 年 である 。	キャロル は 2019 年 に は 以内 に 行って いた 。	neutral	1	年	random	以来（状態動詞）
40	2012 年 以来 、 エレン は 弁当 に 付いて いる 。 現在 、 2001 年 である 。	エレン は 2020 年 に は 弁当 に 付いて いた 。	neutral	1	年	random	以来（状態動詞）
71	2002 年 8 月 以来 、 スティーブ は 逆手 に 取って いる 。 現在 、 2008 年 3 月 である 。	スティーブ は 2006 年 4 月 に は 逆手 に 取って いた 。	entailment	1	年月	random	以来（状態動詞）
72	2002 年 3 月 以来 、 アイザック は 店 に 払って いる 。 現在 、 2012 年 8 月 である 。	アイザック は 2004 年 2 月 に は 店 に 払って いた 。	entailment	1	年月	random	以来（状態動詞）
