premise	hypothesis
ボブは動物園に足を話している。	ボブは現在動物園に足を話している。
1月以来、トムは公園に走る。現在、8月である。	トムは10月には公園に這った。
スミスは5月以来、何を感じてきた。現在、10月である。	スミスは9月に何を感じた。
太郎は2月以来、これを嫌っている。現在、8月である。	太郎は6月にこれを嫌った。
6月以来、トムはこを忘れている。現在、9月である。	トムは1月にこを忘れた。
彼は12月以来君を疑っている。現在、10月である。	彼は6月に君を疑った。
12月に彼は君を断った。	君は10月に死んた。
スミスは9月に泳いた。そのスミスは2月に這うた。	スミスは2月には座るていた。
昨日、彼は彼に走った。今日は9月だ。	彼は12月に彼に走った。
花子はジョーンズが這う前に這った。ジョーンズは太郎が座る前に這った。	花子は太郎が座る前に這った。
彼はボブが走った後に這った。ボブはジョーンズが走った後に走った。	彼はジョーンズが走った後に這った。
スミスが死んた。スミスが死んた。スミスはスミスが泳ぐ前に死んた。	スミスはスミスが死んた後で死んた。
太郎が座った。彼が座った。太郎は彼が座った後に座った。	彼は太郎が泳ぐ前に座った。
スミスが死んた。私が死んた。私はスミスが泳ぐ前に死んた。	スミスは私が死んた後で死んた。
ボブが何を叩いた。太郎が何を叩いた。ボブが太郎より先に何を叩いた。	太郎はボブより後に何を叩いた。
ジョーンズが。を断った。ボブが。を断った。ジョーンズがボブより後に。を断った。	ボブはジョーンズより先に。を断った。
太郎が座った。トムが座った。太郎はトムが成長する前に座った。	トムは太郎が座った後に座った。
花子が東京まで走った。彼が屋外まで這った。花子は彼が屋外まで成長する前に、東京まで走った。	彼は花子が東京まで走った後に、屋外まで這った。
花子は死ぬ前になったから死んた。	花子は泳いた。
太郎は2月に野原に死んていた。	太郎は6月に野原に死んていた。
私は2月にちの夢を断った。	私は1月にちの夢を断った。
私は2月にちを感じた。	私は7月にちを感じた。
花子は2月に夢を疑った。	花子は4月にその夢を疑った。
彼が8月に夢を疑った。	彼はそれを11月に疑った。
ボブが10月にちを褒めた。	ボブが2月にちを褒めた。
彼が3日間以内に君を話した。彼は3月にその君を叩く始めた。	彼は8月までにその君を叩く終えた。
彼が4時間以内に夢を褒めた。	彼はその夢を嫌うのに4時間を忘れるた。
スミスが2時間以内に何を殴った。	スミスはその何を殴るのに2時間以上走るた。
太郎が1年間以内にはを忘れた。	太郎は2時間以内にはを忘れた。
トムが4年間以内に腹を叩いた。	トムは腹を叩いた。
太郎は3日間以内にこを褒めた。	太郎はこを褒めた。
スミスは5年間以内にこの言葉を疑った。	スミスは言葉を忘れるのに5年間を感じるた。
花子は1年間海辺に死んた。	花子は2日間海辺に死んた。
花子は5日間庭に走った。	花子はちょうど5年間庭に走った。
スミスは森に3日間成長した。	スミスは森に成長した。
ボブは私の私を1時間断った。	ボブは私の私を3時間断った。
ジョーンズはこのみを2年間忘れた。	ジョーンズはこのみを忘れた。
ボブは5日間何を疑った。	ボブは4年間何を疑った。
ボブは1時間なぜを忘れた。	ボブはなぜを忘れた。
2月、スミスは毎年何を叩いた。	スミスは8月に何を叩いた。
私は毎年毎に私を嫌った。	私が毎年私を嫌った太郎が座る。
私は7月に砂地を感じた。それから、私は何を殴って日本に座った。	私は何を殴って砂地に成長する前に、ことを感じた。
ボブはいつもそを嫌って泳ぐ。4月にボブはそを疑った。	ボブは4月にそを嫌って成長した。
彼は決して魚を断って泳ぐことはない。10月に彼は魚を褒めた。	彼は10月に魚を断って走った。
スミスは2月に公園に成長した。今日は2月だ。スミスはまだ公園に走っている。	スミスは8月に公園に走るた。
スミスが庭に這った時、スミスは3時間これを殴っていた。	スミスは庭に這った5月にこれを殴っていた。
