num	premise	hypothesis	gold_label	template_num	time_format	time_span	category
1	ボブ は ホーム に 交流 戦 を 迎えて いる 。	ボブ は 現在 ホーム に 交流 戦 を 迎えて いる 。	entailment	0	None	None	現在（現在形）
2	トレント は 問い に 喉 を 開いて いる 。	トレント は 現在 問い に 喉 を 開いて いる 。	entailment	0	None	None	現在（現在形）
3	トレント は 胸 に レイ を 抱き締めて いる 。	トレント は 現在 胸 に レイ を 抱き締めて いる 。	entailment	0	None	None	現在（現在形）
4	マロリー は 客 に 面接 日 を 案内 して いる 。	マロリー は 現在 客 に 面接 日 を 案内 して いる 。	entailment	0	None	None	現在（現在形）
5	ジャスティン は 対象 に 自習 を 行って いる 。	ジャスティン は 現在 対象 に 自習 を 行って いる 。	entailment	0	None	None	現在（現在形）
6	パット は 左翼 に ホームラン を 放って いる 。	パット は 現在 左翼 に ホームラン を 放って いる 。	entailment	0	None	None	現在（現在形）
7	トルーディー は 途端 に 世界 観 を 変えて いる 。	トルーディー は 現在 途端 に 世界 観 を 変えて いる 。	entailment	0	None	None	現在（現在形）
8	マレット は 皆さん に 考え 方 を 述べて いる 。	マレット は 現在 皆さん に 考え 方 を 述べて いる 。	entailment	0	None	None	現在（現在形）
9	ジャスティン は 耳 に 立ち話 を して いる 。	ジャスティン は 現在 耳 に 立ち話 を して いる 。	entailment	0	None	None	現在（現在形）
10	パット は 買収 に 諸手 を 上げて いる 。	パット は 現在 買収 に 諸手 を 上げて いる 。	entailment	0	None	None	現在（現在形）
611	ボブ は 2006 年 以来 、 転送 届 を 出して いる 。 現在 、 2016 年 である 。	ボブ は 2013 年 に 転送 届 を 出した 。	entailment	3	年	random	以来（テイル形）
612	マレット は 2008 年 以来 、 育成 を 始めて いる 。 現在 、 2018 年 である 。	マレット は 2013 年 に 育成 を 始めた 。	entailment	3	年	random	以来（テイル形）
613	アリス は 2005 年 以来 、 皆さん を 案内 して いる 。 現在 、 2010 年 である 。	アリス は 2009 年 に 皆さん を 案内 した 。	entailment	3	年	random	以来（テイル形）
614	プロッド は 2002 年 以来 、 談話 を 行って いる 。 現在 、 2010 年 である 。	プロッド は 2005 年 に 談話 を 行った 。	entailment	3	年	random	以来（テイル形）
615	ジャスティン は 2000 年 以来 、 感謝 祭 を 開いて いる 。 現在 、 2013 年 である 。	ジャスティン は 2007 年 に 感謝 祭 を 開いた 。	entailment	3	年	random	以来（テイル形）
616	トレント は 2002 年 以来 、 姉 を 失って いる 。 現在 、 2010 年 である 。	トレント は 2009 年 に 姉 を 失った 。	entailment	3	年	random	以来（テイル形）
617	キャロル は 2003 年 以来 、 乳腺 炎 を 起こして いる 。 現在 、 2013 年 である 。	キャロル は 2005 年 に 乳腺 炎 を 起こした 。	entailment	3	年	random	以来（テイル形）
618	ビクター は 2002 年 以来 、 ケアプラン を 立て いる 。 現在 、 2017 年 である 。	ビクター は 2005 年 に ケアプラン を 立てた 。	entailment	3	年	random	以来（テイル形）
619	ジャスティン は 2001 年 以来 、 減額 を 決定 して いる 。 現在 、 2014 年 である 。	ジャスティン は 2011 年 に 減額 を 決定 した 。	entailment	3	年	random	以来（テイル形）
620	ペギー は 2003 年 以来 、 体 を 引いて いる 。 現在 、 2016 年 である 。	ペギー は 2010 年 に 体 を 引いた 。	entailment	3	年	random	以来（テイル形）
621	ビクター は 2003 年 以来 、 国会 を 解散 して いる 。 現在 、 2001 年 である 。	ビクター は 2002 年 に 国会 を 解散 した 。	contradiction	3	年	random	以来（テイル形）
622	アイザック は 2018 年 以来 、 云々 を 聞いて いる 。 現在 、 2010 年 である 。	アイザック は 2002 年 に 云々 を 聞いた 。	contradiction	3	年	random	以来（テイル形）
623	トレント は 2017 年 以来 、 人前 式 を 挙げて いる 。 現在 、 2006 年 である 。	トレント は 2003 年 に 人前 式 を 挙げた 。	contradiction	3	年	random	以来（テイル形）
624	ジャスティン は 2020 年 以来 、 スマイル を 浮かべて いる 。 現在 、 2000 年 である 。	ジャスティン は 2004 年 に スマイル を 浮かべた 。	contradiction	3	年	random	以来（テイル形）
625	ウォルター は 2013 年 以来 、 ブレーク を 狙って いる 。 現在 、 2018 年 である 。	ウォルター は 2003 年 に ブレーク を 狙った 。	contradiction	3	年	random	以来（テイル形）
626	ウォルター は 2010 年 以来 、 こぼれ球 を 狙って いる 。 現在 、 2001 年 である 。	ウォルター は 2007 年 に こぼれ球 を 狙った 。	contradiction	3	年	random	以来（テイル形）
627	プロッド は 2019 年 以来 、 風邪 を 引いて いる 。 現在 、 2002 年 である 。	プロッド は 2000 年 に 風邪 を 引いた 。	contradiction	3	年	random	以来（テイル形）
628	ジャスティン は 2006 年 以来 、 恰好 を 見せて いる 。 現在 、 2003 年 である 。	ジャスティン は 2004 年 に 恰好 を 見せた 。	contradiction	3	年	random	以来（テイル形）
629	ペギー は 2010 年 以来 、 詩作 を 始めて いる 。 現在 、 2019 年 である 。	ペギー は 2001 年 に 詩作 を 始めた 。	contradiction	3	年	random	以来（テイル形）
630	ジャスティン は 2008 年 以来 、 予算 を 切って いる 。 現在 、 2014 年 である 。	ジャスティン は 2002 年 に 予算 を 切った 。	contradiction	3	年	random	以来（テイル形）
631	オスカー は 2000 年 以来 、 思い を 伝えて いる 。 現在 、 2006 年 である 。	オスカー は 2014 年 に 思い を 伝えた 。	neutral	3	年	random	以来（テイル形）
632	ウォルター は 2006 年 以来 、 一切 を 負って いる 。 現在 、 2008 年 である 。	ウォルター は 2017 年 に 一切 を 負った 。	neutral	3	年	random	以来（テイル形）
633	マレット は 2013 年 以来 、 一瞬 顔 を 出して いる 。 現在 、 2015 年 である 。	マレット は 2017 年 に 一瞬 顔 を 出した 。	neutral	3	年	random	以来（テイル形）
634	イブ は 2007 年 以来 、 問い合わせ を 受けて いる 。 現在 、 2000 年 である 。	イブ は 2011 年 に 問い合わせ を 受けた 。	neutral	3	年	random	以来（テイル形）
635	ゾーイ は 2008 年 以来 、 雄姿 を 現して いる 。 現在 、 2007 年 である 。	ゾーイ は 2016 年 に 雄姿 を 現した 。	neutral	3	年	random	以来（テイル形）
636	オスカー は 2018 年 以来 、 議長 を 訪問 して いる 。 現在 、 2010 年 である 。	オスカー は 2019 年 に 議長 を 訪問 した 。	neutral	3	年	random	以来（テイル形）
637	エレン は 2010 年 以来 、 声 を 揃えて いる 。 現在 、 2014 年 である 。	エレン は 2018 年 に 声 を 揃えた 。	neutral	3	年	random	以来（テイル形）
638	アイザック は 2016 年 以来 、 曲 を 発表 して いる 。 現在 、 2011 年 である 。	アイザック は 2020 年 に 曲 を 発表 した 。	neutral	3	年	random	以来（テイル形）
639	デイヴ は 2004 年 以来 、 測定 を 行って いる 。 現在 、 2009 年 である 。	デイヴ は 2012 年 に 測定 を 行った 。	neutral	3	年	random	以来（テイル形）
640	ビクター は 2004 年 以来 、 車代 を 出して いる 。 現在 、 2017 年 である 。	ビクター は 2020 年 に 車代 を 出した 。	neutral	3	年	random	以来（テイル形）
641	スティーブ は 2003 年 以来 、 祭り を 訪れて いる 。 現在 、 2008 年 である 。	スティーブ は 2007 年 に 祭り を 訪れた 。	entailment	3	年	short	以来（テイル形）
642	エレン は 2016 年 以来 、 募金 を 手渡して いる 。 現在 、 2019 年 である 。	エレン は 2017 年 に 募金 を 手渡した 。	entailment	3	年	short	以来（テイル形）
643	デイヴ は 2007 年 以来 、 財産 を 提供 して いる 。 現在 、 2012 年 である 。	デイヴ は 2011 年 に 財産 を 提供 した 。	entailment	3	年	short	以来（テイル形）
