num	premise	hypothesis	gold_label	template_num	time_format
1	デイヴ は 片手 に 表通り を 歩いて いる 。	デイヴ は 現在 片手 に 表通り を 歩いて いる 。	entailment	0	None
2	パット は 問題 に 口 を 挟んで いる 。	パット は 現在 問題 に 口 を 挟んで いる 。	entailment	0	None
3	デイヴ は 休み に 音楽 会 を 開いて いる 。	デイヴ は 現在 休み に 音楽 会 を 開いて いる 。	entailment	0	None
4	エレン は 胸 に 彼女 を 抱き締めて いる 。	エレン は 現在 胸 に 彼女 を 抱き締めて いる 。	entailment	0	None
5	スティーブ は 皆様 に 問い合わせ 先 を 紹介 して いる 。	スティーブ は 現在 皆様 に 問い合わせ 先 を 紹介 して いる 。	entailment	0	None
6	プロッド は ブログ に 私事 を 書いて いる 。	プロッド は 現在 ブログ に 私事 を 書いて いる 。	entailment	0	None
7	エレン は 歌 合戦 に 出走 を 果たして いる 。	エレン は 現在 歌 合戦 に 出走 を 果たして いる 。	entailment	0	None
8	ビクター は 後ろ に 眉尻 を 下げて いる 。	ビクター は 現在 後ろ に 眉尻 を 下げて いる 。	entailment	0	None
9	ウォルター は 最新 版 に 人口 を 更新 して いる 。	ウォルター は 現在 最新 版 に 人口 を 更新 して いる 。	entailment	0	None
10	イヴァン は ノート に 更新 を 書いて いる 。	イヴァン は 現在 ノート に 更新 を 書いて いる 。	entailment	0	None
11	プロッド は 片手 に 青春 を 歌って いる 。	プロッド は 現在 片手 に 青春 を 歌って いる 。	entailment	0	None
12	デイヴ はざま に 顔 を 触って いる 。	デイヴ は 現在 ざま に 顔 を 触って いる 。	entailment	0	None
13	マチルダ は 女 に 左手 を 揚げて いる 。	マチルダ は 現在 女 に 左手 を 揚げて いる 。	entailment	0	None
14	アリス は 作り に 貢献 を 果たして いる 。	アリス は 現在 作り に 貢献 を 果たして いる 。	entailment	0	None
15	マチルダ は 先生 に ワクチン を 贈って いる 。	マチルダ は 現在 先生 に ワクチン を 贈って いる 。	entailment	0	None
16	デイヴ は 世界 に 夫婦 を 案内 して いる 。	デイヴ は 現在 世界 に 夫婦 を 案内 して いる 。	entailment	0	None
17	アイザック は 共演 に 顔 を 揃えて いる 。	アイザック は 現在 共演 に 顔 を 揃えて いる 。	entailment	0	None
18	イブ は 所轄 庁 に 同意 書 を 提出 して いる 。	イブ は 現在 所轄 庁 に 同意 書 を 提出 して いる 。	entailment	0	None
19	マロリー は 成長 に 存在 を 駆けて いる 。	マロリー は 現在 成長 に 存在 を 駆けて いる 。	entailment	0	None
20	イヴァン は 友達 に テーマ を して いる 。	イヴァン は 現在 友達 に テーマ を して いる 。	entailment	0	None
21	マーヴィン は 選手 に 質問 を 行って いる 。	マーヴィン は 現在 選手 に 質問 を 行って いる 。	entailment	0	None
22	ビクター は 女 に 風船 を 上げて いる 。	ビクター は 現在 女 に 風船 を 上げて いる 。	entailment	0	None
23	ボブ は 変化 に 高騰 を 受けて いる 。	ボブ は 現在 変化 に 高騰 を 受けて いる 。	entailment	0	None
24	アイザック は 父さん に ハンカチ を 贈って いる 。	アイザック は 現在 父さん に ハンカチ を 贈って いる 。	entailment	0	None
25	アリス は 委員 会 に 可決 を 致して いる 。	アリス は 現在 委員 会 に 可決 を 致して いる 。	entailment	0	None
26	パット は 上 に 首 を 挙げて いる 。	パット は 現在 上 に 首 を 挙げて いる 。	entailment	0	None
27	パット は 相手 に 味 を 見せて いる 。	パット は 現在 相手 に 味 を 見せて いる 。	entailment	0	None
28	ゾーイ は 甲 に 賃金 を 支払って いる 。	ゾーイ は 現在 甲 に 賃金 を 支払って いる 。	entailment	0	None
29	マレット は 皆様 に ヒアリング を 致して いる 。	マレット は 現在 皆様 に ヒアリング を 致して いる 。	entailment	0	None
30	アリス は 客 に 病院 を 案内 して いる 。	アリス は 現在 客 に 病院 を 案内 して いる 。	entailment	0	None
31	デイヴ は 相手 に 追加 点 を 奪って いる 。	デイヴ は 現在 相手 に 追加 点 を 奪って いる 。	entailment	0	None
32	プロッド は 性能 に 不動産 を 駆けて いる 。	プロッド は 現在 性能 に 不動産 を 駆けて いる 。	entailment	0	None
33	トルーディー は メール に 返信 を 致して いる 。	トルーディー は 現在 メール に 返信 を 致して いる 。	entailment	0	None
34	マレット は 脳 に 害 を 受けて いる 。	マレット は 現在 脳 に 害 を 受けて いる 。	entailment	0	None
35	スティーブ は 表 に 紐 を 出して いる 。	スティーブ は 現在 表 に 紐 を 出して いる 。	entailment	0	None
36	スティーブ は 商品 に 所有 権 を 持って いる 。	スティーブ は 現在 商品 に 所有 権 を 持って いる 。	entailment	0	None
37	トルーディー は 声 に ルーフ を 開けて いる 。	トルーディー は 現在 声 に ルーフ を 開けて いる 。	entailment	0	None
38	マーヴィン は 文章 に 書面 を 持って いる 。	マーヴィン は 現在 文章 に 書面 を 持って いる 。	entailment	0	None
39	アイザック は 子 に ワザ を 教えて いる 。	アイザック は 現在 子 に ワザ を 教えて いる 。	entailment	0	None
40	パット は 時 に 意味合い を 知って いる 。	パット は 現在 時 に 意味合い を 知って いる 。	entailment	0	None
41	スティーブ は 以下 に 上限 を 定めて いる 。	スティーブ は 現在 以下 に 上限 を 定めて いる 。	entailment	0	None
42	スティーブ は ドーム に 日の出 を 迎えて いる 。	スティーブ は 現在 ドーム に 日の出 を 迎えて いる 。	entailment	0	None
43	デイヴ は デート に 息子 を 誘って いる 。	デイヴ は 現在 デート に 息子 を 誘って いる 。	entailment	0	None
44	スティーブ は 目 に 報告 を して いる 。	スティーブ は 現在 目 に 報告 を して いる 。	entailment	0	None
45	ゾーイ は 皆様 に 製品 を 贈呈 して いる 。	ゾーイ は 現在 皆様 に 製品 を 贈呈 して いる 。	entailment	0	None
46	パット は 肌 に 文句 を 使って いる 。	パット は 現在 肌 に 文句 を 使って いる 。	entailment	0	None
47	オスカー は 彼女 に 胡蝶 蘭 を 贈って いる 。	オスカー は 現在 彼女 に 胡蝶 蘭 を 贈って いる 。	entailment	0	None
48	フランク は メーン に 料理 を 選んで いる 。	フランク は 現在 メーン に 料理 を 選んで いる 。	entailment	0	None
49	ウォルター は 舞台 に 性能 を 現して いる 。	ウォルター は 現在 舞台 に 性能 を 現して いる 。	entailment	0	None
