id	premise	hypothesis	entailment	contradiction	ng time unit
0	agent_1[ガ格:1] は place_1[ニ格:1] に np_1[ヲ格:1] を vp_ta_1_prog[ガ格,ニ格,ヲ格:1] いる。	agent_1 は 現在 place_1 に np_1 を vp_ta_1_prog いる。	True	False	month,day,hour
1	tp_1 以来、 agent_1[ガ格:1] は place_1[ニ格:1] に stative_vp_zi_1[ガ格,ニ格:1] 。現在、 tp_2 である。	agent_1 は tp_3 には place_1 に stative_vp_zi_1_past 。	tp_1.end <= tp_3.end, tp_3.end <= tp_2.end	tp_3.start < tp_1.start	None
3	agent_1[ガ格:1] は tp_1 以来、 np_1[ヲ格:1] を vp_ta_1_prog[ガ格,ヲ格:1] いる。現在、 tp_2 である。	agent_1 は tp_3 に np_1 を vp_ta_1_past 。	tp_1.end <= tp_3.end, tp_3.end <= tp_2.end	tp_3.start < tp_1.start	None
4	tp_1 以来、 agent_1[ガ格:1] は np_1[ヲ格:1] を vp_ta_1_prog[ガ格,ヲ格:1] いる。現在、 tp_2 である。	agent_1 は tp_3 に np_1 を vp_ta_1_past 。	tp_1.end <= tp_3.end, tp_3.end <= tp_2.end	tp_3.start < tp_1.start	None
5	agent_1[ガ格:1] は tp_1 以来 np_1[ヲ格:1] を vp_ta_1_prog[ガ格,ヲ格:1] いる。現在、 tp_2 である。	agent_1 は tp_3 に np_1 を vp_ta_1_past 。	tp_1.end <= tp_3.end, tp_3.end <= tp_2.end	tp_3.start < tp_1.start	None
8	昨日、 agent_1[ガ格:1] は np_1[ニ格:1] に vp_zi_1_past[ガ格,ニ格:1] 。今日は tp_1 だ。	agent_1 は tp_2 に np_1 に vp_zi_1_past 。	tp_1.start - 1 * day == tp_2.start, tp_1.end - 1 * day == tp_2.end	False	year,month,hour
9	agent_1[ガ格:1] は agent_2[ガ格:2] が vp_zi_1[ガ格:1] 前に vp_zi_2_past[ガ格:2] 。 agent_2 は agent_3[ガ格:3] が vp_zi_3[ガ格:3] 前に vp_zi_1_past 。	agent_1 は agent_3 が vp_zi_3 前に vp_zi_2_past 。	True	False	month,day,hour
10	agent_1[ガ格:1] は agent_2[ガ格:2] が vp_zi_1_past[ガ格:1] 後に vp_zi_2_past[ガ格:2] 。 agent_2 は agent_3[ガ格:3] が vp_zi_3_past[ガ格:3] 後に vp_zi_1_past 。	agent_1 は agent_3 が vp_zi_3_past 後に vp_zi_2_past 。	True	False	month,day,hour
11	agent_1[ガ格:1] が vp_zi_1_past[ガ格:1] 。 agent_2[ガ格:2] が vp_zi_2_past[ガ格:2] 。 agent_1 は agent_2 が vp_zi_2 前に vp_zi_1_past 。	agent_2 は agent_1 が vp_zi_1_past 後で vp_zi_2_past 。	True	False	month,day,hour
12	agent_1[ガ格:1] が vp_zi_1_past[ガ格:1] 。 agent_2[ガ格:2] が vp_zi_2_past[ガ格:2] 。 agent_1 は agent_2 が vp_zi_2_past 後に vp_zi_1_past 。	agent_2 は agent_1 が vp_zi_1 前に vp_zi_2_past 。	True	False	month,day,hour
13	agent_1[ガ格:1] が vp_zi_1_past[ガ格:1] 。 agent_2[ガ格:2] が vp_zi_2_past[ガ格:2] 。 agent_2 は agent_1 が vp_zi_1 前に vp_zi_2_past 。	agent_1 は agent_2 が vp_zi_2_past 後で vp_zi_1_past 。	True	False	month,day,hour
14	agent_1[ガ格1:1] が np_1[ヲ格:1] を vp_ta_1_past[ガ格1,ガ格2,ヲ格:1] 。 agent_2[ガ格2:1] が np_1 を vp_ta_1_past 。 agent_1 が agent_2 より先に np_1 を vp_ta_1_past 。	agent_2 は agent_1 より後に np_1 を vp_ta_1_past 。	True	False	month,day,hour
15	agent_1[ガ格1:1] が np_1[ヲ格:1] を vp_ta_1_past[ガ格1,ガ格2,ヲ格:1] 。 agent_2[ガ格2:1] が np_1 を vp_ta_1_past 。 agent_1 が agent_2 より後に np_1 を vp_ta_1_past 。	agent_2 は agent_1 より先に np_1 を vp_ta_1_past 。	True	False	month,day,hour
17	agent_1[ガ格:1] が place_1[マデ格:1] まで vp_zi_1_past[ガ格,マデ格:1] 。 agent_2[ガ格:2] が place_2[マデ格:2] まで vp_zi_2_past[ガ格,マデ格:2] 。 agent_1 は agent_2 が place_2 まで vp_zi_2 前に、 place_1 まで vp_zi_1_past 。	agent_2 は agent_1 が place_1 まで vp_zi_1_past 後に、 place_2 まで vp_zi_2_past 。	True	False	month,day,hour
19	agent_1[ガ格:1] は tp_1 に place_1[ニ格:1] に vp_zi_1_prog[ガ格,ニ格:1] いた。	agent_1 は tp_2 に place_1 に vp_zi_1_prog いた。	tp_1.start == tp_2.start, tp_1.end == tp_2.end	False	None
20	agent_1[ガ格:1] は tp_1 に [最初,最後] の np_1[ヲ格:1] を vp_ta_1_past[ガ格,ノ格~ヲ格,ヲ格:1] 。	agent_1 は tp_2 に [最初,最後] の np_1 を vp_ta_1_past 。	tp_1.start == tp_2.start, tp_1.end == tp_2.end	tp_1.start != tp_2.start or tp_1.end != tp_2.end	None
21	agent_1[ガ格:1] は tp_1 に np_1[ヲ格:1] を vp_ta_1_past[ガ格,ヲ格:1] 。	agent_1 は tp_2 に np_1 を vp_ta_1_past 。	tp_1.start == tp_2.start, tp_1.end == tp_2.end	False	None
22	agent_1[ガ格:1] は tp_1 に np_1[ヲ格:1] を vp_ta_1_past[ガ格,ヲ格:1] 。	agent_1 は tp_2 にその np_1 を vp_ta_1_past 。	tp_1.start == tp_2.start, tp_1.end == tp_2.end	False	None
23	agent_1[ガ格:1] が tp_1 に np_1[ヲ格:1] を vp_ta_1_past[ガ格,ヲ格:1] 。	agent_1 はそれを tp_2 に vp_ta_1_past 。	tp_1.start == tp_2.start, tp_1.end == tp_2.end	tp_1.start != tp_2.start or tp_1.end != tp_2.end	None
25	agent_1[ガ格:1] が interval_1 以内に np_1[ヲ格:1] を vp_ta_1_past[ガ格,ヲ格:1] 。 agent_1 は tp_2 にその np_1 を vp_ta_1_coni 始めた。	agent_1 は tp_3 までにその np_1 を vp_ta_1_coni 終えた。	tp_2.end + interval_1 <= tp_3.end	tp_3.end <= tp_2.start	None
26	agent_1[ガ格:1] が interval_1 以内に np_1[ヲ格:1] を vp_ta_1_past[ガ格,ヲ格:1] 。	agent_1 はその np_1 を vp_ta_1 のに interval_2 を費やした。	False	interval_1 < interval_2	None
27	agent_1[ガ格:1] が interval_1 以内に np_1[ヲ格:1] を vp_ta_1_past[ガ格,ヲ格:1] 。	agent_1 はその np_1 を vp_ta_1 のに interval_2 以上費やした。	False	interval_1 < interval_2	None
28	agent_1[ガ格:1] が interval_1 以内に np_1[ヲ格:1] を vp_ta_1_past[ガ格,ヲ格:1] 。	agent_1 は interval_2 以内に np_1 を vp_ta_1_past 。	interval_1 <= interval_2	False	None
29	agent_1[ガ格:1] が interval_1 [以内に,で,以上かけて] np_1[ヲ格:1] を vp_ta_1_past[ガ格,ヲ格:1] 。	agent_1 は np_1 を vp_ta_1_past 。	True	False	None
31	agent_1[ガ格:1] は interval_1 [以内に,で] np_1[ノ格~ヲ格:1] の np_2[ヲ格:1] を vp_ta_1_past[ガ格,ノ格~ヲ格,ヲ格:1] 。	agent_1 は np_2 を vp_ta_1 のに interval_2 を費やした。	False	interval_1 < interval_2	None
32	agent_1[ガ格:1] は interval_1 place_1[ニ格:1] に vp_zi_1_past[ガ格,ニ格:1] 。	agent_1 は interval_2 place_1 に vp_zi_1_past 。	interval_2 < interval_1	False	None
33	agent_1[ガ格:1] は interval_1 place_1[ニ格:1] に vp_zi_1_past[ガ格,ニ格:1] 。	agent_1 はちょうど interval_2 place_1 に vp_zi_1_past 。	False	interval_1 > interval_2	None
34	agent_1[ガ格:1] は place_1[ニ格:1] に interval_1 [,以上] vp_zi_1_past[ガ格,ニ格:1] 。	agent_1 は place_1 に vp_zi_1_past 。	True	False	None
35	agent_1[ガ格:1] は np_1[ノ格~ヲ格:1] の np_2[ヲ格:1] を interval_1 vp_ta_1_past[ガ格,ノ格~ヲ格,ヲ格:1] 。	agent_1 は np_1 の np_2 を interval_2 vp_ta_1_past 。	interval_2 < interval_1	False	None
36	agent_1[ガ格:1] は np_1[ノ格~ヲ格:1] の np_2[ヲ格:1] を interval_1 vp_ta_1_past[ガ格,ノ格~ヲ格,ヲ格:1] 。	agent_1 は np_1 の np_2 を vp_ta_1_past 。	True	False	None
37	agent_1[ガ格:1] は interval_1 np_1[ヲ格:1] を vp_ta_1_past[ガ格,ヲ格:1] 。	agent_1 は interval_2 np_1 を vp_ta_1_past 。	interval_2 < interval_1	False	None
38	agent_1[ガ格:1] は interval_1 np_1[ヲ格:1] を vp_ta_1_past[ガ格,ヲ格:1] 。	agent_1 は np_1 を vp_ta_1_past 。	True	False	None
