id	premise	hypothesis	entailment	contradiction	ng time unit	test time format	category
0	agent_1[ガ格:1] は place_1[ニ格:1] に np_1[ヲ格:1] を vp_ta_1_prog[ガ格,ニ格,ヲ格::1] いる。	agent_1 は 現在 place_1 に np_1 を vp_ta_1_prog いる。	True	False	year,month,day	None	現在（現在形）
1	tp_1 以来、 agent_1[ガ格:1] は place_1[ニ格:1] に stative_vp_zi_1[ガ格,ニ格:tp:1] 。現在、 tp_2 である。	agent_1 は tp_3 には place_1 に stative_vp_zi_1_past 。	tp_1.end <= tp_3.end, tp_3.end <= tp_2.end	tp_3.start < tp_1.start	None	年月日時	以来（状態動詞）
3	agent_1[ガ格:1] は tp_1 以来、 np_1[ヲ格:1] を vp_ta_1_prog[ガ格,ヲ格:tp:1] いる。現在、 tp_2 である。	agent_1 は tp_3 に np_1 を vp_ta_1_past 。	tp_1.end <= tp_3.end, tp_3.end <= tp_2.end	tp_3.start < tp_1.start	None	年月日時	以来（テイル形）
4	tp_1 以来、 agent_1[ガ格:1] は np_1[ヲ格:1] を vp_ta_1_prog[ガ格,ヲ格:tp:1] いる。現在、 tp_2 である。	agent_1 は tp_3 に np_1 を vp_ta_1_past 。	tp_1.end <= tp_3.end, tp_3.end <= tp_2.end	tp_3.start < tp_1.start	None	年月日時	以来（テイル形）
5	agent_1[ガ格:1] は tp_1 以来 np_1[ヲ格:1] を vp_ta_1_prog[ガ格,ヲ格:tp:1] いる。現在、 tp_2 である。	agent_1 は tp_3 に np_1 を vp_ta_1_past 。	tp_1.end <= tp_3.end, tp_3.end <= tp_2.end	tp_3.start < tp_1.start	None	年月日時	以来（テイル形）
8	昨日、 agent_1[ガ格:1] は np_1[ニ格:1] に vp_zi_1_past[ガ格,ニ格:tp:1] 。今日は tp_1 だ。	agent_1 は tp_2!=tp_1-1day に np_1 に vp_zi_1_past 。	tp_1.start - 1 * day == tp_2.start, tp_1.end - 1 * day == tp_2.end	False	year.year,year.month,year.hour,month.month,month.hour,day.hour,hour.hour	年月日	照応（昨日）
9	agent_1[ガ格:1] は agent_2[ガ格:2] が vp_zi_1[ガ格::1] 前に vp_zi_2_past[ガ格::2] 。 agent_2 は agent_3[ガ格:3] が vp_zi_3[ガ格::3] 前に vp_zi_1_past 。	agent_1 は agent_3 が vp_zi_3 前に vp_zi_2_past 。	True	False	year,month,day	None	順序（推移律）
10	agent_1[ガ格:1] は agent_2[ガ格:2] が vp_zi_1_past[ガ格::1] 後に vp_zi_2_past[ガ格::2] 。 agent_2 は agent_3[ガ格:3] が vp_zi_3_past[ガ格::3] 後に vp_zi_1_past 。	agent_1 は agent_3 が vp_zi_3_past 後に vp_zi_2_past 。	True	False	year,month,day	None	順序（推移律）
11	agent_1[ガ格:1] が vp_zi_1_past[ガ格::1] 。 agent_2[ガ格:2] が vp_zi_2_past[ガ格::2] 。 agent_1 は agent_2 が vp_zi_2 前に vp_zi_1_past 。	agent_2 は agent_1 が vp_zi_1_past 後で vp_zi_2_past 。	True	False	year,month,day	None	順序（前後）
12	agent_1[ガ格:1] が vp_zi_1_past[ガ格::1] 。 agent_2[ガ格:2] が vp_zi_2_past[ガ格::2] 。 agent_1 は agent_2 が vp_zi_2_past 後に vp_zi_1_past 。	agent_2 は agent_1 が vp_zi_1 前に vp_zi_2_past 。	True	False	year,month,day	None	順序（前後）
13	agent_1[ガ格:1] が vp_zi_1_past[ガ格::1] 。 agent_2[ガ格:2] が vp_zi_2_past[ガ格::2] 。 agent_2 は agent_1 が vp_zi_1 前に vp_zi_2_past 。	agent_1 は agent_2 が vp_zi_2_past 後で vp_zi_1_past 。	True	False	year,month,day	None	順序（前後）
14	agent_1[ガ格1:1] が np_1[ヲ格:1] を vp_ta_1_past[ガ格1,ガ格2,ヲ格::1] 。 agent_2[ガ格2:1] が np_1 を vp_ta_1_past 。 agent_1 が agent_2 より先に np_1 を vp_ta_1_past 。	agent_2 は agent_1 より後に np_1 を vp_ta_1_past 。	True	False	year,month,day	None	順序（先後）
15	agent_1[ガ格1:1] が np_1[ヲ格:1] を vp_ta_1_past[ガ格1,ガ格2,ヲ格::1] 。 agent_2[ガ格2:1] が np_1 を vp_ta_1_past 。 agent_1 が agent_2 より後に np_1 を vp_ta_1_past 。	agent_2 は agent_1 より先に np_1 を vp_ta_1_past 。	True	False	year,month,day	None	順序（先後）
17	agent_1[ガ格:1] が place_1[マデ格:1] まで vp_zi_1_past[ガ格,マデ格::1] 。 agent_2[ガ格:2] が place_2[マデ格:2] まで vp_zi_2_past[ガ格,マデ格::2] 。 agent_1 は agent_2 が place_2 まで vp_zi_2 前に、 place_1 まで vp_zi_1_past 。	agent_2 は agent_1 が place_1 まで vp_zi_1_past 後に、 place_2 まで vp_zi_2_past 。	True	False	year,month,day	None	順序（前後+アスペクト)
19	agent_1[ガ格:1] は tp_1 に place_1[ニ格:1] に vp_zi_1_prog[ガ格,ニ格:tp:1] いた。	agent_1 は tp_2 に place_1 に vp_zi_1_prog いた。	tp_1.start == tp_2.start, tp_1.end == tp_2.end	False	None	年月日時	未言及の時点
20	agent_1[ガ格:1] は tp_1 に [最初,最後] の np_1[ヲ格:1] を vp_ta_1_past[ガ格,ノ格~ヲ格,ヲ格:tp:1] 。	agent_1 は tp_2 に [最初,最後] の np_1 を vp_ta_1_past 。	tp_1.start == tp_2.start, tp_1.end == tp_2.end	tp_1.start != tp_2.start or tp_1.end != tp_2.end	None	年月日時	未言及の時点（唯一事象）
21	agent_1[ガ格:1] は tp_1 に np_1[ヲ格:1] を vp_ta_1_past[ガ格,ヲ格:tp:1] 。	agent_1 は tp_2 に np_1 を vp_ta_1_past 。	tp_1.start == tp_2.start, tp_1.end == tp_2.end	False	None	年月日時	未言及の時点
22	agent_1[ガ格:1] は tp_1 に np_1[ヲ格:1] を vp_ta_1_past[ガ格,ヲ格:tp:1] 。	agent_1 は tp_2 にその np_1 を vp_ta_1_past 。	tp_1.start == tp_2.start, tp_1.end == tp_2.end	False	None	年月日時	未言及の時点（照応）
23	agent_1[ガ格:1] が tp_1 に np_1[ヲ格:1] を vp_ta_1_past[ガ格,ヲ格:tp:1] 。	agent_1 はそれを tp_2 に vp_ta_1_past 。	tp_1.start == tp_2.start, tp_1.end == tp_2.end	tp_1.start != tp_2.start or tp_1.end != tp_2.end	None	年月日時	未言及の時点（唯一事象）
25	agent_1[ガ格:1] が interval_1 以内に np_1[ヲ格:1] を vp_ta_1_past[ガ格,ヲ格:nint:1] 。 agent_1 は tp_2 にその np_1 を vp_ta_1_coni 始めた。	agent_1 は tp_3 までにその np_1 を vp_ta_1_coni 終えた。	tp_2.end + interval_1 <= tp_3.end	tp_3.end <= tp_2.start	None	年月日時	2区間比較（以内/以内+区間計算）
26	agent_1[ガ格:1] が interval_1 以内に np_1[ヲ格:1] を vp_ta_1_past[ガ格,ヲ格:nint:1] 。	agent_1 はその np_1 を vp_ta_1 のに interval_2 を費やした。	False	interval_1 < interval_2	None	時間	2区間比較（以内/ちょうど）
27	agent_1[ガ格:1] が interval_1 以内に np_1[ヲ格:1] を vp_ta_1_past[ガ格,ヲ格:nint:1] 。	agent_1 はその np_1 を vp_ta_1 のに interval_2 以上費やした。	False	interval_1 < interval_2	None	時間	2区間比較（以内/以上）
28	agent_1[ガ格:1] が interval_1 以内に np_1[ヲ格:1] を vp_ta_1_past[ガ格,ヲ格:nint:1] 。	agent_1 は interval_2 以内に np_1 を vp_ta_1_past 。	interval_1 <= interval_2	False	None	時間	2区間比較（以内/以内）
29	agent_1[ガ格:1] が interval_1 [以内に,で,以上かけて] np_1[ヲ格:1] を vp_ta_1_past[ガ格,ヲ格:nint:1] 。	agent_1 は np_1 を vp_ta_1_past 。	True	False	None	時間	完了
31	agent_1[ガ格:1] は interval_1 以内に多くの np_2[ヲ格:1] を vp_ta_1_past[ガ格,ヲ格:nint:1] 。	agent_1 は np_2 を vp_ta_1 のに interval_2 を費やした。	False	interval_1 < interval_2	None	時間	2区間比較（以内/ちょうど+多く）
32	agent_1[ガ格:1] は interval_1 place_1[ニ格:1] に vp_zi_1_past[ガ格,ニ格:cint:1] 。	agent_1 は interval_2 place_1 に vp_zi_1_past 。	interval_2 < interval_1	False	None	時間	2区間比較（ちょうど/以上+少なくとも）
33	agent_1[ガ格:1] は interval_1 place_1[ニ格:1] に vp_zi_1_past[ガ格,ニ格:cint:1] 。	agent_1 はちょうど interval_2 place_1 に vp_zi_1_past 。	False	interval_1 > interval_2	None	時間	2区間比較（ちょうど/ちょうど+ちょうど）
34	agent_1[ガ格:1] は place_1[ニ格:1] に interval_1 [,以上] vp_zi_1_past[ガ格,ニ格:cint:1] 。	agent_1 は place_1 に vp_zi_1_past 。	True	False	None	時間	完了
35	agent_1[ガ格:1] は np_1[ノ格~ヲ格:1] の np_2[ヲ格:1] を interval_1 vp_ta_1_past[ガ格,ノ格~ヲ格,ヲ格:cint:1] 。	agent_1 は np_1 の np_2 を interval_2 vp_ta_1_past 。	interval_2 < interval_1	False	None	時間	2区間比較（ちょうど/以上+少なくとも）
36	agent_1[ガ格:1] は np_1[ノ格~ヲ格:1] の np_2[ヲ格:1] を interval_1 vp_ta_1_past[ガ格,ノ格~ヲ格,ヲ格:cint:1] 。	agent_1 は np_1 の np_2 を vp_ta_1_past 。	True	False	None	時間	完了
37	agent_1[ガ格:1] は interval_1 np_1[ヲ格:1] を vp_ta_1_past[ガ格,ヲ格:cint:1] 。	agent_1 は interval_2 np_1 を vp_ta_1_past 。	interval_2 < interval_1	False	None	時間	2区間比較（ちょうど/以上+少なくとも）
38	agent_1[ガ格:1] は interval_1 np_1[ヲ格:1] を vp_ta_1_past[ガ格,ヲ格:cint:1] 。	agent_1 は np_1 を vp_ta_1_past 。	True	False	None	時間	完了
40	agent_1[ガ格:1] は毎 time_unit_1 np_1[ニ格:1] に np_2[ヲ格:1] を vp_ta_1_past[ガ格,ニ格,ヲ格::1] 。	agent_1 が毎 time_unit_1 np_2 を vp_ta_1_past np_1 が存在する。	False	False	hour	日間	習慣+存在量化（毎+時間単位）
42	agent_1[ガ格:1] はいつも np_1[ヲ格:1] を遅れて vp_ta_1[ガ格,ヲ格:tp:1] 。 tp_1 に agent_1 は np_1 を vp_ta_1_past 。	agent_1 は tp_2 に np_1 を遅れて vp_ta_1_past 。	tp_1.start == tp_2.start, tp_1.end == tp_2.end	False	None	年月日時	習慣（未言及+いつも）
43	agent_1[ガ格:1] は決して np_1[ヲ格:1] を遅れて vp_ta_1[ガ格,ヲ格:tp:1] ことはない。 tp_1 に agent_1 は np_1 を vp_ta_1_past 。	agent_1 は tp_2 に np_1 を遅れて vp_ta_1_past 。	False	True	None	年月日時	習慣+否定（未言及+決してない）
46	昨日、 agent_1[ガ格:1] は np_1[ニ格:1] に vp_zi_1_past[ガ格,ニ格:tp:1] 。今日は tp_1 だ。	agent_1 は tp_1-1day に np_1 に vp_zi_1_past 。	True	False	year.year,year.month,year.hour,month.month,month.hour,day.hour,hour.hour	年月日	照応（昨日）
47	agent_1[ガ格:1] は agent_2[ガ格:2] が vp_zi_1[ガ格::1] 前に vp_zi_2_past[ガ格::2] 。 agent_2 は agent_3[ガ格:3] が vp_zi_3[ガ格::3] 前に vp_zi_1_past 。	agent_1 は agent_3 が vp_zi_3_past 後に vp_zi_2_past 。	False	True	year,month,day	None	順序（推移律）
48	agent_1[ガ格:1] は agent_2[ガ格:2] が vp_zi_1[ガ格::1] 前に vp_zi_2_past[ガ格::2] 。 agent_2 は agent_3[ガ格:3] が vp_zi_3_past[ガ格::3] 後に vp_zi_1_past 。	agent_1 は agent_3 が vp_zi_3 前に vp_zi_2_past 。	False	False	year,month,day	None	順序（推移律不可）
49	agent_1[ガ格:1] は agent_2[ガ格:2] が vp_zi_1[ガ格::1] 前に vp_zi_2_past[ガ格::2] 。 agent_2 は agent_3[ガ格:3] が vp_zi_3_past[ガ格::3] 後に vp_zi_1_past 。	agent_1 は agent_3 が vp_zi_3_past 後に vp_zi_2_past 。	False	False	year,month,day	None	順序（推移律不可）
