premise	hypothesis
ボブは動物園に会社員をしている。	ボブは現在動物園に会社員をしている。
1月以来、トムは公園にいる。現在、5月である。	トムは6月には公園にいた。
スミスは5月以来、編集者を務めてきた。現在、10月である。	スミスは9月に編集者を務めた。
太郎は2月以来、カップルを続けている。現在、8月である。	太郎は6月にカップルを続けた。
6月以来、トムは老人を訪ねている。現在、9月である。	トムは1月に老人を訪ねた。
彼は12月以来私を愛している。現在、10月である。	彼は6月に私を愛した。
12月に彼は男性を亡くした。	男性は10月に亡くなった。
ジョーンズは3月に亡くなった。そのジョーンズは2月に亡くなった。	ジョーンズは2月には戻っていた。
昨日、花子は子犬に出会った。今日は8月だ。	花子は5月に子犬に出会った。
彼は花子が死ぬ前に亡くなった。花子はジョーンズが生まれる前に亡くなった。	彼はジョーンズが生まれる前に亡くなった。
太郎はトムが帰った後に現れた。トムは彼が帰った後に帰った。	太郎は彼が帰った後に現れた。
ボブが勝った。花子が勝った。ボブは花子が勝つ前に勝った。	花子はボブが勝った後で勝った。
ジョーンズが勝った。太郎が勝った。ジョーンズは太郎が勝った後に勝った。	太郎はジョーンズが勝つ前に勝った。
スミスが生まれた。ジョーンズが生まれた。ジョーンズはスミスが生まれる前に生まれた。	スミスはジョーンズが生まれた後で生まれた。
スミスがスミスを殺した。太郎がスミスを殺した。スミスが太郎より先にスミスを殺した。	太郎はスミスより後にスミスを殺した。
トムが損失を出した。彼が損失を出した。トムが彼より後に損失を出した。	彼はトムより先に損失を出した。
スミスが生まれた。スミスが生まれた。スミスはスミスが生まれる前に生まれた。	スミスはスミスが生まれた後に生まれた。
私が東京まで来た。ボブが森まで行った。私はボブが森まで行く前に、東京まできた。	ボブは私が東京まできた後に、森まで行った。
太郎は夜明け前にキツネから逃げた。	太郎は夜明けした。
ジョーンズは4月に戸外に出ていた。	ジョーンズは5月に戸外に出ていた。
トムは11月に事業のフットボール選手を辞めた。	トムは10月に事業のフットボール選手を辞めた。
トムは10月に男性を訪ねた。	トムは4月に男性を訪ねた。
太郎は2月にスノーボーダーを始めた。	太郎は3月にそのスノーボーダーを始めた。
ボブが1月に家を出た。	ボブはそれを12月に出た。
私が10月に彼を殺した。	私が2月に彼を殺した。
彼が4時間以内にスノーボーダーを辞めた。彼は2月にそのスノーボーダーを辞める始めた。	彼は10月までにそのスノーボーダーを辞める終えた。
ジョーンズが2年間以内に会議室を作った。	ジョーンズはその会議室を作るのに2年間を費やした。
トムが2年間以内にジョーンズを破った。	トムはそのジョーンズを破るのに2年間以上かかった。
私が5日間以内に編集者を雇った。	私は3時間以内に編集者を雇った。
ジョーンズが1年間以内にテニス選手を辞めた。	ジョーンズはテニス選手を辞めた。
花子は4時間以内にジョーンズを去った。	花子はジョーンズを去った。
トムは1年間以内に編集者の学生を辞めた。	トムは学生を辞めるのに1年間を費やした。
ジョーンズは3日間森に留まった。	ジョーンズは4年間森に留まった。
スミスは2時間動物園にいた。	スミスはちょうど2時間動物園にいた。
花子は砂地に3時間いた。	花子は砂地にいた。
トムはタクシーの私を4年間続けた。	トムはタクシーの私を4年間続けた。
太郎はライダーのサーファーを3時間倒した。	太郎はライダーのサーファーを倒した。
私は4年間事業を続けた。	私は3年間事業を続けた。
私は5日間報告書を書いた。	私は報告書を書いた。
4月、花子は毎日ホッケー選手を辞めた。	花子は11月にホッケー選手を辞めた。
スミスは毎日テニス選手にサーファーを教えた。	スミスが毎日サーファーを教えたボブがある。
彼は1月に森を訪れた。それから、彼はカップルを連れてアメリカに戻った。	彼はカップルを連れて森に入る前に、女の子を訪れた。
ジョーンズはいつも老人を見ている。7月にジョーンズは老人を訪ねた。	ジョーンズは7月に老人を見ていた。
私は決して学生を見ていることはない。12月に私は学生を辞めた。	私は12月に学生を見ていた。
私は3月に東京に着いた。今日は5月だ。私はまだ東京に行っている。	私は8月に東京に着いた。
私が日本に来た時、私は4日間テニス選手をしていた。	私は日本にきた8月にテニス選手をしていた。
