premise	hypothesis
ボブは動物園に会社員を入れている。	ボブは現在動物園に会社員を入れている。
1月以来、トムは公園にいた。現在、5月である。	トムは6月には公園に行ってた。
スミスは5月以来、編集者を続けてきた。現在、10月である。	スミスは9月に編集者を続けた。
太郎は2月以来、カップルを見ている。現在、8月である。	太郎は6月にカップルを見た。
6月以来、トムは老人を見ている。現在、9月である。	トムは1月に老人を見た。
彼は12月以来私を見ている。現在、10月である。	彼は6月に私を見た。
12月に彼は男性を探した。	男性は10月に入ってた。
ジョーンズは3月に生まれてた。そのジョーンズは2月に亡くなってた。	ジョーンズは2月にはいていた。
昨日、花子は子犬になってた。今日は8月だ。	花子は5月に子犬になってた。
彼は花子が生まれる前に亡くなってた。花子はジョーンズが生まれる前に生まれてた。	彼はジョーンズが生まれる前に知ってた。
太郎はトムがした後にした。トムは彼がした後にした。	太郎は彼がした後にした。
ボブが言ってた。花子が言ってた。ボブは花子がerror前に使ってた。	花子はボブがした後でした。
ジョーンズが言ってた。太郎が言ってた。ジョーンズは太郎がした後にした。	太郎はジョーンズがする前にした。
スミスが言ってた。ジョーンズが言ってた。ジョーンズはスミスがerror前にやってた。	スミスはジョーンズが寝た後で寝た。
スミスがスミスを殺してた。太郎がスミスをしてた。スミスが太郎より先にスミスをしてた。	太郎はスミスより後にスミスを見てた。
トムが損失を出してた。彼が損失を出した。トムが彼より後に損失を出した。	彼はトムより先に損失を出した。
スミスが言ってた。スミスが言ってた。スミスはスミスがerror前にやってた。	スミスはスミスがした後にした。
私が東京まで行ってた。ボブが森まで行ってた。私はボブが森までerror前に、東京まで行ってた。	ボブは私が東京まで行きた後に、森まで行きた。
太郎は生まれる前にキツネから生まれてた。	太郎は生まれた。
ジョーンズは4月に戸外に出ていた。	ジョーンズは5月に戸外に出ていた。
トムは11月に事業のフットボール選手を探してた。	トムは10月に事業のフットボール選手を探してた。
トムは10月に男性を求めてた。	トムは4月に男性を求めてた。
太郎は2月にスノーボーダーをしてた。	太郎は3月にそのスノーボーダーを買ってた。
ボブが1月に家を出てた。	ボブはそれを12月に買ってた。
私が10月に彼を愛してた。	私が2月に彼を愛してた。
彼が4時間以内にスノーボーダーを探してた。彼は2月にそのスノーボーダーをerror始めた。	彼は10月までにそのスノーボーダーをerror終えた。
ジョーンズが2年間以内に会議室を借りてた。	ジョーンズはその会議室をerrorのに2年間をかけてた。
トムが2年間以内にジョーンズを殺してた。	トムはそのジョーンズをerrorのに2年間以上かけてた。
私が5日間以内に編集者を探してた。	私は3時間以内に編集者を探してた。
ジョーンズが1年間以内にテニス選手を探してた。	ジョーンズはテニス選手を目指してた。
花子は4時間以内にジョーンズを探してた。	花子はジョーンズを愛してた。
トムは1年間以内に編集者の学生を探してた。	トムは学生をerrorのに1年間を使ってた。
ジョーンズは3日間森に入ってた。	ジョーンズは4年間森に入ってた。
スミスは2時間動物園に行ってた。	スミスはちょうど2時間動物園に行ってた。
花子は砂地に3時間入ってた。	花子は砂地に落ちてた。
トムはタクシーの私を4年間見てた。	トムはタクシーの私を4年間見てた。
太郎はライダーのサーファーを3時間やってた。	太郎はライダーのサーファーをしてた。
私は4年間事業を。た。	私は3年間事業を。した。
私は5日間報告書を書いてた。	私は報告書を書いてた。
4月、花子は毎日ホッケー選手を探してた。	花子は11月にホッケー選手を探してた。
スミスは毎日テニス選手にサーファーを送ってた。	スミスが毎日サーファーをしてたボブがいた。
彼は1月に森を歩いてた。それから、彼はカップルを集めてアメリカに行きた。	彼はカップルを集めて森に入る前に、女の子を集めた。
ジョーンズはいつも老人を見ている。7月にジョーンズは老人を殺してた。	ジョーンズは7月に老人を見ていた。
私は決して学生を総てることはない。12月に私は学生をしてた。	私は12月に学生をしてきた。
私は3月に東京に来てた。今日は5月だ。私はまだ東京に行きている。	私は8月に東京に行ってた。
私が日本にいた時、私は4日間テニス選手をしていた。	私は日本にいた8月にテニス選手をしていた。
